mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	n/a	n/a	n/a	0	n/a	0
87465	TRIAL_START	n/a	LTP510	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
213349	COUNTDOWN	n/a	LTP510	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
217381	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	0	TABLE	151	1	1	0
218981	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	0	n/a	n/a	0	n/a	0
221848	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	1	PEELER	189	0	2	0
223449	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	1	n/a	n/a	0	n/a	0
226065	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	2	POTATO	275	0	1	0
227666	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	2	n/a	n/a	0	n/a	0
230366	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	3	GRAPE	138	1	2	0
231965	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	3	n/a	n/a	0	n/a	0
234783	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	4	GORILLA	309	1	2	0
236382	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	4	n/a	n/a	0	n/a	0
239066	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	5	SHOVEL	236	0	1	0
240665	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	5	n/a	n/a	0	n/a	0
243315	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	6	FOUNDATION	57	0	2	0
244915	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	6	n/a	n/a	0	n/a	0
247449	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	7	DRUM	172	0	1	0
249049	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	7	n/a	n/a	0	n/a	0
251648	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	8	GNAT	169	0	2	0
253249	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	8	n/a	n/a	0	n/a	0
256233	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	9	FINCH	35	1	2	0
257832	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	9	n/a	n/a	0	n/a	0
260533	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	10	GRAPE	138	1	2	1
262132	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	10	n/a	n/a	0	n/a	0
264766	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	11	PEELER	189	0	2	1
266366	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	11	n/a	n/a	0	n/a	0
269365	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	12	GOAT	118	0	1	0
270965	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	12	n/a	n/a	0	n/a	0
273566	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	13	GORILLA	309	1	2	1
275165	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	13	n/a	n/a	0	n/a	0
278149	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	14	FOUNDATION	57	0	2	1
279749	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	14	n/a	n/a	0	n/a	0
282599	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	15	GNAT	169	0	2	1
284199	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	15	n/a	n/a	0	n/a	0
286916	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	16	SCANNER	93	1	1	0
288517	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	16	n/a	n/a	0	n/a	0
291233	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	17	FINCH	35	1	2	1
292849	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	17	n/a	n/a	0	n/a	0
310516	REC_START	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	n/a	n/a	n/a	0	n/a	0
311410	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	n/a	TABLE	151	0	1	1
312628	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	n/a	SCANNER	93	0	1	1
314075	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	n/a	FINCH	35	0	2	1
315576	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	n/a	GRAPE	138	0	2	1
316873	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	n/a	GORILLA	309	0	2	1
341039	REC_END	n/a	LTP510	ltpDelayRepFRReadOnly	1	0	n/a	n/a	n/a	0	n/a	0
359532	TRIAL_START	n/a	LTP510	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
372282	COUNTDOWN	n/a	LTP510	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
376415	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	0	OCTOPUS	217	1	2	0
378015	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	0	n/a	n/a	0	n/a	0
380749	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	1	PASTRY	82	0	2	0
382349	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	1	n/a	n/a	0	n/a	0
385082	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	2	HUMIDITY	292	0	1	0
386682	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	2	n/a	n/a	0	n/a	0
389665	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	3	BALL	243	0	2	0
391266	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	3	n/a	n/a	0	n/a	0
394065	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	4	NYLON	101	0	2	0
395666	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	4	n/a	n/a	0	n/a	0
398300	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	5	SODA	15	0	2	0
399899	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	5	n/a	n/a	0	n/a	0
402416	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	6	TOE	47	1	2	0
404016	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	6	n/a	n/a	0	n/a	0
406600	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	7	OCTOPUS	217	1	2	1
408199	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	7	n/a	n/a	0	n/a	0
410732	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	8	VIOLET	127	1	1	0
412333	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	8	n/a	n/a	0	n/a	0
415248	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	9	PASTRY	82	0	2	1
416848	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	9	n/a	n/a	0	n/a	0
419350	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	10	REFRIGERATOR	2	1	1	0
420965	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	10	n/a	n/a	0	n/a	0
423715	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	11	BALL	243	0	2	1
425316	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	11	n/a	n/a	0	n/a	0
428266	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	12	SODA	15	0	2	1
429866	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	12	n/a	n/a	0	n/a	0
432532	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	13	NYLON	101	0	2	1
434133	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	13	n/a	n/a	0	n/a	0
436649	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	14	TOE	47	1	2	1
438249	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	14	n/a	n/a	0	n/a	0
441165	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	15	STREAM	195	0	1	0
442766	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	15	n/a	n/a	0	n/a	0
445682	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	16	EVERGREEN	258	1	1	0
447283	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	16	n/a	n/a	0	n/a	0
449898	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	17	STAPLER	225	1	1	0
451498	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	17	n/a	n/a	0	n/a	0
469233	REC_START	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	n/a	n/a	n/a	0	n/a	0
470314	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	n/a	OCTOPUS	217	0	2	1
472268	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	n/a	STAPLER	225	0	1	1
474245	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	n/a	EVERGREEN	258	0	1	1
476253	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	n/a	TOE	47	0	2	1
478706	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	n/a	VIOLET	127	0	1	1
484428	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	n/a	REFRIGERATOR	2	0	1	1
499737	REC_END	n/a	LTP510	ltpDelayRepFRReadOnly	1	1	n/a	n/a	n/a	0	n/a	0
499737	TRIAL_START	n/a	LTP510	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
509549	COUNTDOWN	n/a	LTP510	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
513483	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	0	SHELF	156	1	2	0
515083	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	0	n/a	n/a	0	n/a	0
517982	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	1	WHALE	211	1	2	0
519582	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	1	n/a	n/a	0	n/a	0
522300	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	2	BASS	176	0	2	0
523900	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	2	n/a	n/a	0	n/a	0
526483	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	3	FOREST	202	1	2	0
528083	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	3	n/a	n/a	0	n/a	0
531033	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	4	MICROWAVE	97	1	2	0
532633	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	4	n/a	n/a	0	n/a	0
535549	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	5	LADYBUG	163	0	1	0
537149	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	5	n/a	n/a	0	n/a	0
540049	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	6	FREEZER	6	0	1	0
541649	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	6	n/a	n/a	0	n/a	0
544316	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	7	CHICKEN	112	1	2	0
545916	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	7	n/a	n/a	0	n/a	0
548533	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	8	KNIFE	183	0	1	0
550132	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	8	n/a	n/a	0	n/a	0
552716	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	9	MOUSSE	84	0	1	0
554316	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	9	n/a	n/a	0	n/a	0
556982	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	10	SHELF	156	1	2	1
558583	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	10	n/a	n/a	0	n/a	0
561300	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	11	PLANE	284	0	1	0
562900	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	11	n/a	n/a	0	n/a	0
565649	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	12	WHALE	211	1	2	1
567266	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	12	n/a	n/a	0	n/a	0
570216	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	13	BASS	176	0	2	1
571816	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	13	n/a	n/a	0	n/a	0
574633	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	14	FLOOR	54	1	1	0
576233	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	14	n/a	n/a	0	n/a	0
579067	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	15	MICROWAVE	97	1	2	1
580666	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	15	n/a	n/a	0	n/a	0
583266	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	16	FOREST	202	1	2	1
584866	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	16	n/a	n/a	0	n/a	0
587400	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	17	CHICKEN	112	1	2	1
589000	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	17	n/a	n/a	0	n/a	0
606882	REC_START	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	n/a	n/a	n/a	0	n/a	0
607644	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	1	2	n/a	MICROWAVE	97	0	2	1
