onset	duration	trial_type	sample	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
119.42236328125	n/a	SESS_START	244577	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
356.12451171875	n/a	TRIAL_START	729343	n/a	LTP515	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
441.888671875	n/a	COUNTDOWN	904988	n/a	LTP515	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
445.98876953125	n/a	WORD	913385	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	0	CUCUMBER	272	1	2	0
447.58740234375	n/a	WORD_OFF	916659	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	0	n/a	n/a	0	n/a	0
450.20458984375	n/a	WORD	922019	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	1	CORKSCREW	193	0	1	0
451.80419921875	n/a	WORD_OFF	925295	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	1	n/a	n/a	0	n/a	0
454.42041015625	n/a	WORD	930653	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	2	JELLO	85	0	1	0
456.02001953125	n/a	WORD_OFF	933929	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	2	n/a	n/a	0	n/a	0
458.5703125	n/a	WORD	939152	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	3	BALL	243	1	2	0
460.1708984375	n/a	WORD_OFF	942430	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	3	n/a	n/a	0	n/a	0
462.85400390625	n/a	WORD	947925	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	4	VALLEY	200	1	2	0
464.4541015625	n/a	WORD_OFF	951202	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	4	n/a	n/a	0	n/a	0
467.12060546875	n/a	WORD	956663	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	5	BEER	22	1	2	0
468.720703125	n/a	WORD_OFF	959940	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	5	n/a	n/a	0	n/a	0
471.6044921875	n/a	WORD	965846	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	6	CHERRY	142	1	2	0
473.20361328125	n/a	WORD_OFF	969121	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	6	n/a	n/a	0	n/a	0
476.03662109375	n/a	WORD	974923	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	7	CALCULATOR	96	0	1	0
477.63671875	n/a	WORD_OFF	978200	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	7	n/a	n/a	0	n/a	0
480.6044921875	n/a	WORD	984278	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	8	CARNATION	126	1	2	0
482.203125	n/a	WORD_OFF	987552	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	8	n/a	n/a	0	n/a	0
484.736328125	n/a	WORD	992740	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	9	LEVEL	237	0	1	0
486.33642578125	n/a	WORD_OFF	996017	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	9	n/a	n/a	0	n/a	0
488.93603515625	n/a	WORD	1001341	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	10	BALL	243	1	2	1
490.537109375	n/a	WORD_OFF	1004620	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	10	n/a	n/a	0	n/a	0
493.18603515625	n/a	WORD	1010045	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	11	VALLEY	200	1	2	1
494.7861328125	n/a	WORD_OFF	1013322	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	11	n/a	n/a	0	n/a	0
497.470703125	n/a	WORD	1018820	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	12	NYLON	101	1	1	0
499.07080078125	n/a	WORD_OFF	1022097	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	12	n/a	n/a	0	n/a	0
502.03564453125	n/a	WORD	1028169	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	13	CUCUMBER	272	1	2	1
503.6357421875	n/a	WORD_OFF	1031446	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	13	n/a	n/a	0	n/a	0
506.435546875	n/a	WORD	1037180	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	14	ORANGUTAN	311	0	1	0
508.03564453125	n/a	WORD_OFF	1040457	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	14	n/a	n/a	0	n/a	0
510.6865234375	n/a	WORD	1045886	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	15	BEER	22	1	2	1
512.28515625	n/a	WORD_OFF	1049160	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	15	n/a	n/a	0	n/a	0
515.13623046875	n/a	WORD	1054999	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	16	CARNATION	126	1	2	1
516.7353515625	n/a	WORD_OFF	1058274	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	16	n/a	n/a	0	n/a	0
519.7021484375	n/a	WORD	1064350	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	17	CHERRY	142	1	2	1
521.30224609375	n/a	WORD_OFF	1067627	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	17	n/a	n/a	0	n/a	0
539.28564453125	n/a	REC_START	1104457	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
542.0986328125	n/a	REC_WORD	1110218	n/a	LTP515	ltpDelayRepFRReadOnly	0	0	n/a	CUCUMBER	272	0	2	1
