mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	n/a	n/a	n/a	0	n/a	0
191635	TRIAL_START	n/a	LTP531	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
200253	COUNTDOWN	n/a	LTP531	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
204301	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	0	CORKSCREW	193	1	2	0
205902	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	0	n/a	n/a	0	n/a	0
208752	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	1	FUDGE	81	0	1	0
210353	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	1	n/a	n/a	0	n/a	0
213169	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	2	SHORTS	65	1	2	0
214769	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	2	n/a	n/a	0	n/a	0
217369	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	3	AXE	241	0	2	0
218969	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	3	n/a	n/a	0	n/a	0
221936	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	4	LILAC	132	0	1	0
223536	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	4	n/a	n/a	0	n/a	0
226152	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	5	VAN	280	1	2	0
227752	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	5	n/a	n/a	0	n/a	0
230486	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	6	GOAT	118	1	2	0
232085	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	6	n/a	n/a	0	n/a	0
234853	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	7	THUNDER	299	1	1	0
236453	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	7	n/a	n/a	0	n/a	0
239019	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	8	ISLAND	205	1	2	0
240619	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	8	n/a	n/a	0	n/a	0
243219	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	9	CORKSCREW	193	1	2	1
244835	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	9	n/a	n/a	0	n/a	0
247786	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	10	SHORTS	65	1	2	1
249385	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	10	n/a	n/a	0	n/a	0
252303	WORD	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	11	PEN	218	1	1	0
253902	WORD_OFF	n/a	LTP531	ltpDelayRepFRReadOnly	2	0	11	n/a	n/a	0	n/a	0
