mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	n/a	n/a	n/a	0	n/a	0
57255	TRIAL_START	n/a	LTP542	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
140190	COUNTDOWN	n/a	LTP542	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
144106	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	0	SILK	99	1	2	0
145705	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	0	n/a	n/a	0	n/a	0
148389	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	1	EYE	46	1	2	0
149990	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	1	n/a	n/a	0	n/a	0
152939	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	2	OAK	255	1	2	0
154539	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	2	n/a	n/a	0	n/a	0
157356	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	3	DRESS	73	1	1	0
158956	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	3	n/a	n/a	0	n/a	0
161457	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	4	WOODS	201	1	2	0
163055	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	4	n/a	n/a	0	n/a	0
165773	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	5	TEA	20	1	1	0
167373	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	5	n/a	n/a	0	n/a	0
170155	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	6	FLUTE	174	1	2	0
171756	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	6	n/a	n/a	0	n/a	0
174422	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	7	PRINTER	92	1	2	0
176023	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	7	n/a	n/a	0	n/a	0
178706	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	8	CHAIR	147	1	1	0
180306	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	8	n/a	n/a	0	n/a	0
182956	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	9	SILK	99	1	2	1
184555	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	9	n/a	n/a	0	n/a	0
187539	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	10	OAK	255	1	2	1
189139	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	10	n/a	n/a	0	n/a	0
192089	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	11	EYE	46	1	2	1
193706	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	3	0	11	n/a	n/a	0	n/a	0
