mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
222195	TRIAL_START	n/a	LTP538	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
343963	COUNTDOWN	n/a	LTP538	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
347895	WORD	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	0	SPINACH	269	1	2	0
349495	WORD_OFF	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	0	n/a	n/a	0	n/a	0
352213	WORD	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	1	CUPCAKE	77	1	2	0
353813	WORD_OFF	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	1	n/a	n/a	0	n/a	0
356696	WORD	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	2	RATCHET	239	1	1	0
358295	WORD_OFF	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	2	n/a	n/a	0	n/a	0
361146	WORD	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	3	THUNDER	299	1	2	0
362746	WORD_OFF	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	3	n/a	n/a	0	n/a	0
365712	WORD	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	4	COTTON	98	0	1	0
367313	WORD_OFF	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	4	n/a	n/a	0	n/a	0
370146	WORD	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	5	PEN	218	1	1	0
371746	WORD_OFF	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	5	n/a	n/a	0	n/a	0
374528	WORD	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	6	RUM	25	1	2	0
376128	WORD_OFF	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	6	n/a	n/a	0	n/a	0
378645	WORD	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	7	SPEAKER	95	1	2	0
380246	WORD_OFF	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	7	n/a	n/a	0	n/a	0
383179	WORD	n/a	LTP538	ltpDelayRepFRReadOnly	0	0	8	CHEETAH	312	0	2	0
