mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	n/a	n/a	n/a	0	n/a	0
119694	TRIAL_START	n/a	LTP547	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
129877	COUNTDOWN	n/a	LTP547	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
133994	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	0	HALLWAY	58	1	2	0
135594	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	0	n/a	n/a	0	n/a	0
138394	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	1	WHISK	186	1	2	0
139993	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	1	n/a	n/a	0	n/a	0
142528	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	2	CROWBAR	240	1	2	0
144128	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	2	n/a	n/a	0	n/a	0
146778	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	3	SPINACH	269	1	2	0
148377	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	3	n/a	n/a	0	n/a	0
150995	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	4	SHRIMP	208	1	2	0
152593	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	4	n/a	n/a	0	n/a	0
155444	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	5	OVEN	5	1	1	0
157044	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	5	n/a	n/a	0	n/a	0
159911	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	6	HILLS	199	1	2	0
161511	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	6	n/a	n/a	0	n/a	0
164027	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	7	WHISK	186	1	2	1
165627	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	7	n/a	n/a	0	n/a	0
168161	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	8	STAPLER	225	0	1	0
169761	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	8	n/a	n/a	0	n/a	0
172528	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	9	HALLWAY	58	1	2	1
174128	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	3	0	9	n/a	n/a	0	n/a	0
