onset	duration	trial_type	sample	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
171.0751953125	n/a	SESS_START	350362	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
475.76123046875	n/a	TRIAL_START	974359	n/a	LTP508	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
617.19140625	n/a	COUNTDOWN	1264008	n/a	LTP508	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
621.20703125	n/a	WORD	1272232	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	0	FOLDER	223	1	2	0
622.80810546875	n/a	WORD_OFF	1275511	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	0	n/a	n/a	0	n/a	0
625.47509765625	n/a	WORD	1280973	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	1	BLUEBIRD	31	1	2	0
627.07421875	n/a	WORD_OFF	1284248	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	1	n/a	n/a	0	n/a	0
630.07470703125	n/a	WORD	1290393	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	2	REFRIGERATOR	2	0	1	0
631.6748046875	n/a	WORD_OFF	1293670	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	2	n/a	n/a	0	n/a	0
634.5078125	n/a	WORD	1299472	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	3	TRUCK	279	1	2	0
636.10791015625	n/a	WORD_OFF	1302749	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	3	n/a	n/a	0	n/a	0
639.0078125	n/a	WORD	1308688	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	4	HUMIDITY	292	0	1	0
640.607421875	n/a	WORD_OFF	1311964	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	4	n/a	n/a	0	n/a	0
643.4736328125	n/a	WORD	1317834	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	5	HEN	114	0	1	0
645.07373046875	n/a	WORD_OFF	1321111	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	5	n/a	n/a	0	n/a	0
647.7734375	n/a	WORD	1326640	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	6	OCEAN	196	1	2	0
649.37451171875	n/a	WORD_OFF	1329919	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	6	n/a	n/a	0	n/a	0
652.34130859375	n/a	WORD	1335995	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	7	GUITAR	171	0	1	0
653.9404296875	n/a	WORD_OFF	1339270	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	7	n/a	n/a	0	n/a	0
656.92431640625	n/a	WORD	1345381	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	8	MICROWAVE	97	1	2	0
658.52294921875	n/a	WORD_OFF	1348655	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	8	n/a	n/a	0	n/a	0
661.19091796875	n/a	WORD	1354119	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	9	MILK	21	0	1	0
662.80712890625	n/a	WORD_OFF	1357429	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	9	n/a	n/a	0	n/a	0
665.77392578125	n/a	WORD	1363505	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	10	VELVET	108	0	2	0
667.373046875	n/a	WORD_OFF	1366780	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	10	n/a	n/a	0	n/a	0
670.22265625	n/a	WORD	1372616	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	11	BLUEBIRD	31	1	2	1
671.82275390625	n/a	WORD_OFF	1375893	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	11	n/a	n/a	0	n/a	0
674.70654296875	n/a	WORD	1381799	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	12	FOLDER	223	1	2	1
676.306640625	n/a	WORD_OFF	1385076	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	12	n/a	n/a	0	n/a	0
679.2568359375	n/a	WORD	1391118	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	13	BLUEBERRY	141	1	1	0
680.8564453125	n/a	WORD_OFF	1394394	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	13	n/a	n/a	0	n/a	0
683.6396484375	n/a	WORD	1400094	n/a	LTP508	ltpDelayRepFRReadOnly	0	0	14	OCEAN	196	1	2	1
