mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	n/a	n/a	n/a	0	n/a	0
52564	TRIAL_START	n/a	LTP547	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
136566	COUNTDOWN	n/a	LTP547	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
140449	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	0	ISLAND	205	1	1	0
142067	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	0	n/a	n/a	0	n/a	0
144816	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	1	ORGAN	181	1	2	0
146416	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	1	n/a	n/a	0	n/a	0
149182	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	2	PIG	110	1	1	0
150782	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	2	n/a	n/a	0	n/a	0
153549	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	3	SHOES	72	1	2	0
155149	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	3	n/a	n/a	0	n/a	0
157882	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	4	CHEETAH	312	1	2	0
159482	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	4	n/a	n/a	0	n/a	0
162149	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	5	SHRIMP	208	0	2	0
163749	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	5	n/a	n/a	0	n/a	0
166599	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	6	RUM	25	1	2	0
168199	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	4	0	6	n/a	n/a	0	n/a	0
