onset	duration	trial_type	sample	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
44.0908203125	n/a	SESS_START	90298	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	n/a	n/a	0	n/a	0
190.25	n/a	TRIAL_START	389632	n/a	LTP531	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
198.39990234375	n/a	COUNTDOWN	406323	n/a	LTP531	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
202.431640625	n/a	WORD	414580	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	0	TROMBONE	177	0	1	0
204.03271484375	n/a	WORD_OFF	417859	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	0	n/a	n/a	0	n/a	0
206.982421875	n/a	WORD	423900	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	1	ATTIC	61	1	2	0
208.58251953125	n/a	WORD_OFF	427177	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	1	n/a	n/a	0	n/a	0
211.1494140625	n/a	WORD	432434	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	2	MARBLES	251	1	2	0
212.74951171875	n/a	WORD_OFF	435711	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	2	n/a	n/a	0	n/a	0
215.5322265625	n/a	WORD	441410	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	3	SCOOTER	288	1	2	0
217.13330078125	n/a	WORD_OFF	444689	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	3	n/a	n/a	0	n/a	0
219.6494140625	n/a	WORD	449842	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	4	FOG	298	1	2	0
221.2490234375	n/a	WORD_OFF	453118	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	4	n/a	n/a	0	n/a	0
224.1162109375	n/a	WORD	458990	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	5	FUDGE	81	1	2	0
225.71484375	n/a	WORD_OFF	462264	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	5	n/a	n/a	0	n/a	0
228.4658203125	n/a	WORD	467898	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	6	LINEN	106	1	1	0
230.06494140625	n/a	WORD_OFF	471173	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	6	n/a	n/a	0	n/a	0
232.681640625	n/a	WORD	476532	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	7	CARNATION	126	1	1	0
234.28173828125	n/a	WORD_OFF	479809	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	7	n/a	n/a	0	n/a	0
236.9326171875	n/a	WORD	485238	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	8	ELM	257	0	1	0
238.53173828125	n/a	WORD_OFF	488513	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	8	n/a	n/a	0	n/a	0
241.33154296875	n/a	WORD	494247	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	9	UNDERWEAR	69	1	2	0
242.9326171875	n/a	WORD_OFF	497526	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	9	n/a	n/a	0	n/a	0
245.78125	n/a	WORD	503360	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	10	MARBLES	251	1	2	1
247.38134765625	n/a	WORD_OFF	506637	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	10	n/a	n/a	0	n/a	0
249.88134765625	n/a	WORD	511757	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	11	ATTIC	61	1	2	1
251.48095703125	n/a	WORD_OFF	515033	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	11	n/a	n/a	0	n/a	0
254.115234375	n/a	WORD	520428	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	12	TURKEY	121	0	1	0
255.71484375	n/a	WORD_OFF	523704	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	12	n/a	n/a	0	n/a	0
258.64892578125	n/a	WORD	529713	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	13	SCOOTER	288	1	2	1
260.2470703125	n/a	WORD_OFF	532986	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	13	n/a	n/a	0	n/a	0
263.03173828125	n/a	WORD	538689	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	14	FOG	298	1	2	1
264.64892578125	n/a	WORD_OFF	542001	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	14	n/a	n/a	0	n/a	0
267.46337890625	n/a	WORD	547765	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	15	FUDGE	81	1	2	1
269.064453125	n/a	WORD_OFF	551044	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	15	n/a	n/a	0	n/a	0
271.814453125	n/a	WORD	556676	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	16	UNDERWEAR	69	1	2	1
273.41455078125	n/a	WORD_OFF	559953	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	16	n/a	n/a	0	n/a	0
276.2314453125	n/a	WORD	565722	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	17	STOVE	4	1	1	0
277.8310546875	n/a	WORD_OFF	568998	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	17	n/a	n/a	0	n/a	0
295.73046875	n/a	REC_START	605656	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	n/a	n/a	0	n/a	0
296.6328125	n/a	REC_WORD	607504	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	SCOOTER	288	0	2	1
297.6474609375	n/a	REC_WORD	609582	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	ATTIC	61	0	2	1
298.50341796875	n/a	REC_WORD	611335	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	FOG	298	0	2	1
299.4697265625	n/a	REC_WORD	613314	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	FUDGE	81	0	2	1
300.58935546875	n/a	REC_WORD	615607	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	CARNATION	126	0	1	1
301.9365234375	n/a	REC_WORD	618366	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	LINEN	106	0	1	1
302.92236328125	n/a	REC_WORD	620385	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	MARBLES	251	0	2	1
304.04443359375	n/a	REC_WORD	622683	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	STOVE	4	0	1	1
318.22216796875	n/a	REC_WORD	651719	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	UNDERWEAR	69	0	2	1
326.25048828125	n/a	REC_END	668161	n/a	LTP531	ltpDelayRepFRReadOnly	4	0	n/a	n/a	n/a	0	n/a	0
347.01220703125	n/a	TRIAL_START	710681	n/a	LTP531	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
354.82861328125	n/a	COUNTDOWN	726689	n/a	LTP531	ltpDelayRepFRReadOnly	4	n/a	n/a	n/a	n/a	0	n/a	0
358.76171875	n/a	WORD	734744	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	0	CRAB	210	1	2	0
360.36083984375	n/a	WORD_OFF	738019	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	0	n/a	n/a	0	n/a	0
362.8603515625	n/a	WORD	743138	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	1	CREEK	203	1	2	0
364.46142578125	n/a	WORD_OFF	746417	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	1	n/a	n/a	0	n/a	0
367.42822265625	n/a	WORD	752493	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	2	ROOM	56	1	2	0
369.0283203125	n/a	WORD_OFF	755770	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	2	n/a	n/a	0	n/a	0
371.67724609375	n/a	WORD	761195	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	3	CELLO	178	0	2	0
373.27734375	n/a	WORD_OFF	764472	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	3	n/a	n/a	0	n/a	0
376.16015625	n/a	WORD	770376	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	4	MOTORCYCLE	283	0	1	0
377.76025390625	n/a	WORD_OFF	773653	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	4	n/a	n/a	0	n/a	0
380.72802734375	n/a	WORD	779731	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	5	CHERRY	142	1	2	0
382.32666015625	n/a	WORD_OFF	783005	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	5	n/a	n/a	0	n/a	0
385.27685546875	n/a	WORD	789047	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	6	BARBIE	245	1	1	0
386.8779296875	n/a	WORD_OFF	792326	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	6	n/a	n/a	0	n/a	0
389.6767578125	n/a	WORD	798058	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	7	RULER	226	0	2	0
391.2763671875	n/a	WORD_OFF	801334	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	7	n/a	n/a	0	n/a	0
393.810546875	n/a	WORD	806524	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	8	WASHER	3	1	1	0
395.41064453125	n/a	WORD_OFF	809801	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	8	n/a	n/a	0	n/a	0
398.12744140625	n/a	WORD	815365	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	9	CRAB	210	1	2	1
399.7265625	n/a	WORD_OFF	818640	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	9	n/a	n/a	0	n/a	0
402.30908203125	n/a	WORD	823929	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	10	CREEK	203	1	2	1
403.9091796875	n/a	WORD_OFF	827206	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	10	n/a	n/a	0	n/a	0
406.4931640625	n/a	WORD	832498	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	11	ROOM	56	1	2	1
408.09423828125	n/a	WORD_OFF	835777	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	11	n/a	n/a	0	n/a	0
410.7431640625	n/a	WORD	841202	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	12	CELLO	178	0	2	1
412.3427734375	n/a	WORD_OFF	844478	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	12	n/a	n/a	0	n/a	0
415.04296875	n/a	WORD	850008	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	13	DAFFODIL	128	1	1	0
416.642578125	n/a	WORD_OFF	853284	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	13	n/a	n/a	0	n/a	0
419.62548828125	n/a	WORD	859393	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	14	RULER	226	0	2	1
421.2255859375	n/a	WORD_OFF	862670	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	14	n/a	n/a	0	n/a	0
423.95947265625	n/a	WORD	868269	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	15	CLOUD	294	0	1	0
425.5595703125	n/a	WORD_OFF	871546	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	15	n/a	n/a	0	n/a	0
428.193359375	n/a	WORD	876940	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	16	DESK	152	1	1	0
429.79248046875	n/a	WORD_OFF	880215	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	16	n/a	n/a	0	n/a	0
432.4921875	n/a	WORD	885744	n/a	LTP531	ltpDelayRepFRReadOnly	4	1	17	CHERRY	142	1	2	1
