mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	n/a	n/a	0	n/a	0
18857	TRIAL_START	n/a	LTP504	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
26490	COUNTDOWN	n/a	LTP504	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
30557	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	0	TUBA	179	1	2	0
32158	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	0	n/a	n/a	0	n/a	0
34990	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	1	ROOSTER	115	1	2	0
36590	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	1	n/a	n/a	0	n/a	0
39207	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	2	LEVEL	237	1	1	0
40807	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	2	n/a	n/a	0	n/a	0
43441	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	3	HAND	42	1	2	0
45040	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	3	n/a	n/a	0	n/a	0
47557	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	4	PRINTER	92	0	1	0
49157	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	4	n/a	n/a	0	n/a	0
51690	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	5	GOOSE	36	0	1	0
53291	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	5	n/a	n/a	0	n/a	0
56190	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	6	LEMON	144	1	2	0
57790	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	6	n/a	n/a	0	n/a	0
60440	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	7	FOUNDATION	57	1	2	0
62040	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	7	n/a	n/a	0	n/a	0
64741	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	8	SODA	15	0	2	0
66341	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	8	n/a	n/a	0	n/a	0
69007	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	9	TUBA	179	1	2	1
70607	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	9	n/a	n/a	0	n/a	0
73274	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	10	CUPCAKE	77	0	1	0
74873	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	10	n/a	n/a	0	n/a	0
77473	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	11	CHIMPANZEE	307	0	1	0
79075	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	11	n/a	n/a	0	n/a	0
81674	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	12	ROOSTER	115	1	2	1
83275	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	12	n/a	n/a	0	n/a	0
86008	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	13	SHORTS	65	1	1	0
87608	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	13	n/a	n/a	0	n/a	0
90441	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	14	HAND	42	1	2	1
92041	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	14	n/a	n/a	0	n/a	0
94674	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	15	LEMON	144	1	2	1
96274	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	15	n/a	n/a	0	n/a	0
98825	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	16	FOUNDATION	57	1	2	1
100441	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	16	n/a	n/a	0	n/a	0
103092	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	17	SODA	15	0	2	1
104690	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	17	n/a	n/a	0	n/a	0
122491	REC_START	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	n/a	n/a	0	n/a	0
123508	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	ROOSTER	115	0	2	1
124700	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	LEVEL	237	0	1	1
125471	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	HAND	42	0	2	1
126564	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	LEMON	144	0	2	1
127826	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	TUBA	179	0	2	1
128507	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	FOUNDATION	57	0	2	1
131000	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	SHORTS	65	0	1	1
152999	REC_END	n/a	LTP504	ltpDelayRepFRReadOnly	3	0	n/a	n/a	n/a	0	n/a	0
153807	TRIAL_START	n/a	LTP504	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
161524	COUNTDOWN	n/a	LTP504	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
165475	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	0	BALL	243	1	2	0
167075	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	0	n/a	n/a	0	n/a	0
169841	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	1	TORNADO	301	1	2	0
171441	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	1	n/a	n/a	0	n/a	0
173975	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	2	MOTORCYCLE	283	1	2	0
175574	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	2	n/a	n/a	0	n/a	0
178091	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	3	ERASER	222	1	1	0
179692	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	3	n/a	n/a	0	n/a	0
182358	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	4	BEE	161	1	1	0
183958	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	4	n/a	n/a	0	n/a	0
186791	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	5	SOCKS	67	1	2	0
188391	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	5	n/a	n/a	0	n/a	0
191075	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	6	CARROT	267	1	2	0
192692	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	6	n/a	n/a	0	n/a	0
195641	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	7	WHALE	211	1	2	0
197241	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	7	n/a	n/a	0	n/a	0
200091	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	8	BALL	243	1	2	1
201691	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	8	n/a	n/a	0	n/a	0
204190	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	9	ORGAN	181	1	1	0
205790	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	9	n/a	n/a	0	n/a	0
208775	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	10	TORNADO	301	1	2	1
210375	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	10	n/a	n/a	0	n/a	0
213025	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	11	HORSE	116	1	1	0
214625	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	11	n/a	n/a	0	n/a	0
217558	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	12	MOTORCYCLE	283	1	2	1
219158	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	12	n/a	n/a	0	n/a	0
221842	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	13	CARROT	267	1	2	1
223441	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	13	n/a	n/a	0	n/a	0
226242	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	14	SOCKS	67	1	2	1
227842	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	14	n/a	n/a	0	n/a	0
230375	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	15	WHALE	211	1	2	1
231975	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	15	n/a	n/a	0	n/a	0
234558	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	16	PUDDING	80	1	1	0
236158	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	16	n/a	n/a	0	n/a	0
238875	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	17	DENIM	104	1	1	0
240475	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	17	n/a	n/a	0	n/a	0
258309	REC_START	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	n/a	n/a	0	n/a	0
259055	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	PUDDING	80	0	1	1
260053	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	DENIM	104	0	1	1
260796	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	HORSE	116	0	1	1
261909	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	ORGAN	181	0	1	1
262688	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	BALL	243	0	2	1
263245	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	TORNADO	301	0	2	1
264066	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	MOTORCYCLE	283	0	2	1
265421	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	ERASER	222	0	1	1
266411	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	BEE	161	0	1	1
267013	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	SOCKS	67	0	2	1
268727	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	CARROT	267	0	2	1
269405	REC_WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	WHALE	211	0	2	1
288811	REC_END	n/a	LTP504	ltpDelayRepFRReadOnly	3	1	n/a	n/a	n/a	0	n/a	0
288811	TRIAL_START	n/a	LTP504	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
296525	COUNTDOWN	n/a	LTP504	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
300641	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	0	LEG	39	1	1	0
302242	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	0	n/a	n/a	0	n/a	0
304758	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	1	STOVE	4	1	2	0
306358	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	1	n/a	n/a	0	n/a	0
308925	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	2	FUDGE	81	1	2	0
310525	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	2	n/a	n/a	0	n/a	0
313425	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	3	RIVER	194	1	2	0
315025	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	3	n/a	n/a	0	n/a	0
317909	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	4	KNIFE	183	1	2	0
319508	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	4	n/a	n/a	0	n/a	0
322109	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	5	CROW	30	1	2	0
323708	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	5	n/a	n/a	0	n/a	0
326625	WORD	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	6	AXE	241	1	2	0
328225	WORD_OFF	n/a	LTP504	ltpDelayRepFRReadOnly	3	2	6	n/a	n/a	0	n/a	0
