onset	duration	trial_type	sample	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
-0.00048828125	n/a	SESS_START	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	n/a	n/a	n/a	0	n/a	0
-0.00048828125	n/a	TRIAL_START	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
-0.00048828125	n/a	COUNTDOWN	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
-0.00048828125	n/a	WORD	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	0	COOKIE	79	1	1	0
-0.00048828125	n/a	WORD_OFF	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	0	n/a	n/a	0	n/a	0
-0.00048828125	n/a	WORD	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	1	BATHROOM	60	1	2	0
-0.00048828125	n/a	WORD_OFF	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	1	n/a	n/a	0	n/a	0
-0.00048828125	n/a	WORD	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	2	SKIRT	66	1	2	0
-0.00048828125	n/a	WORD_OFF	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	2	n/a	n/a	0	n/a	0
-0.00048828125	n/a	WORD	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	3	CALF	113	1	2	0
-0.00048828125	n/a	WORD_OFF	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	3	n/a	n/a	0	n/a	0
-0.00048828125	n/a	WORD	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	4	THUNDERSTORM	293	1	2	0
-0.00048828125	n/a	WORD_OFF	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	4	n/a	n/a	0	n/a	0
-0.00048828125	n/a	WORD	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	5	SPINACH	269	0	1	0
-0.00048828125	n/a	WORD_OFF	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	5	n/a	n/a	0	n/a	0
-0.00048828125	n/a	WORD	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	6	DRESSER	149	1	1	0
-0.00048828125	n/a	WORD_OFF	-1	n/a	LTP505	ltpDelayRepFRReadOnly	2	0	6	n/a	n/a	0	n/a	0
