onset	duration	trial_type	sample	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
-0.00048828125	n/a	SESS_START	-1	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	n/a	n/a	n/a	0	n/a	0
43.01123046875	n/a	TRIAL_START	88087	n/a	LTP504	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
50.9462890625	n/a	COUNTDOWN	104338	n/a	LTP504	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
54.9609375	n/a	WORD	112560	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	0	ARM	41	1	2	0
56.56201171875	n/a	WORD_OFF	115839	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	0	n/a	n/a	0	n/a	0
59.52880859375	n/a	WORD	121915	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	1	JELLYFISH	212	1	1	0
61.12890625	n/a	WORD_OFF	125192	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	1	n/a	n/a	0	n/a	0
63.94580078125	n/a	WORD	130961	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	2	STEREO	89	0	2	0
65.5458984375	n/a	WORD_OFF	134238	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	2	n/a	n/a	0	n/a	0
68.52880859375	n/a	WORD	140347	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	3	RIVER	194	1	2	0
70.12890625	n/a	WORD_OFF	143624	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	3	n/a	n/a	0	n/a	0
72.8955078125	n/a	WORD	149290	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	4	CABBAGE	277	0	2	0
74.49560546875	n/a	WORD_OFF	152567	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	4	n/a	n/a	0	n/a	0
77.16162109375	n/a	WORD	158027	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	5	BLOCKS	244	0	2	0
78.76123046875	n/a	WORD_OFF	161303	n/a	LTP504	ltpDelayRepFRReadOnly	1	0	5	n/a	n/a	0	n/a	0
