mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
210964	TRIAL_START	n/a	LTP563	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
290232	COUNTDOWN	n/a	LTP563	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
294298	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	0	REFRIGERATOR	2	1	1	0
295899	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	0	n/a	n/a	0	n/a	0
298782	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	1	SATIN	102	1	2	0
300399	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	1	n/a	n/a	0	n/a	0
303265	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	2	ELBOW	48	1	2	0
304865	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	2	n/a	n/a	0	n/a	0
307532	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	3	SQUID	216	1	1	0
309132	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	3	n/a	n/a	0	n/a	0
311999	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	4	JUICE	19	0	2	0
313599	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	4	n/a	n/a	0	n/a	0
316315	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	5	TROMBONE	177	1	2	0
317932	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	5	n/a	n/a	0	n/a	0
320849	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	6	SHOVEL	236	0	1	0
322449	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	6	n/a	n/a	0	n/a	0
325365	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	7	CHIMPANZEE	307	0	1	0
326965	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	7	n/a	n/a	0	n/a	0
329949	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	8	CARNATION	126	1	2	0
331549	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	8	n/a	n/a	0	n/a	0
334299	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	9	APPLE	134	1	2	0
335899	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	9	n/a	n/a	0	n/a	0
338599	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	10	SATIN	102	1	2	1
340199	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	10	n/a	n/a	0	n/a	0
342865	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	11	ELBOW	48	1	2	1
344465	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	11	n/a	n/a	0	n/a	0
347315	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	12	TROMBONE	177	1	2	1
348915	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	12	n/a	n/a	0	n/a	0
351765	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	13	EVERGREEN	258	1	1	0
353364	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	13	n/a	n/a	0	n/a	0
355882	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	14	JUICE	19	0	2	1
357482	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	14	n/a	n/a	0	n/a	0
360266	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	15	PANTS	63	0	1	0
361865	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	15	n/a	n/a	0	n/a	0
364731	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	16	CARNATION	126	1	2	1
366331	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	16	n/a	n/a	0	n/a	0
368866	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	17	APPLE	134	1	2	1
370465	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	17	n/a	n/a	0	n/a	0
388432	REC_START	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
390031	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	REFRIGERATOR	2	0	1	1
391215	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	ELBOW	48	0	2	1
392167	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	SQUID	216	0	1	1
393338	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	SATIN	102	0	2	1
394544	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	APPLE	134	0	2	1
395482	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	CARNATION	126	0	2	1
396522	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	TROMBONE	177	0	2	1
397597	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	EVERGREEN	258	0	1	1
418935	REC_END	n/a	LTP563	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
442216	TRIAL_START	n/a	LTP563	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
450682	COUNTDOWN	n/a	LTP563	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
454765	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	0	BROCCOLI	266	1	1	0
456366	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	0	n/a	n/a	0	n/a	0
458932	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	1	LEMON	144	0	2	0
460549	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	1	n/a	n/a	0	n/a	0
463283	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	2	CEDAR	262	1	2	0
464899	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	2	n/a	n/a	0	n/a	0
467616	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	3	TRAIN	285	1	2	0
469216	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	3	n/a	n/a	0	n/a	0
471999	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	4	SHOES	72	0	2	0
473599	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	4	n/a	n/a	0	n/a	0
476149	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	5	PIANO	170	0	1	0
477749	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	5	n/a	n/a	0	n/a	0
480416	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	6	TURTLE	215	1	1	0
482016	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	6	n/a	n/a	0	n/a	0
484849	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	7	SOFA	150	1	2	0
486449	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	7	n/a	n/a	0	n/a	0
489216	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	8	EYE	46	1	2	0
490816	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	8	n/a	n/a	0	n/a	0
493749	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	9	LEMON	144	0	2	1
495349	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	9	n/a	n/a	0	n/a	0
498233	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	10	CEDAR	262	1	2	1
499833	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	10	n/a	n/a	0	n/a	0
502766	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	11	WINE	24	0	1	0
504367	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	11	n/a	n/a	0	n/a	0
507299	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	12	SHOES	72	0	2	1
508916	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	12	n/a	n/a	0	n/a	0
511566	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	13	DUCK	33	0	1	0
513166	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	13	n/a	n/a	0	n/a	0
516015	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	14	TRAIN	285	1	2	1
517616	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	14	n/a	n/a	0	n/a	0
520549	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	15	SOFA	150	1	2	1
522149	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	15	n/a	n/a	0	n/a	0
525050	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	16	EYE	46	1	2	1
526649	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	16	n/a	n/a	0	n/a	0
529333	WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	17	LILY	125	0	1	0
530933	WORD_OFF	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	17	n/a	n/a	0	n/a	0
548466	REC_START	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	n/a	n/a	n/a	0	n/a	0
549565	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	n/a	BROCCOLI	266	0	1	1
550222	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	n/a	CEDAR	262	0	2	1
551270	REC_WORD	n/a	LTP563	ltpDelayRepFRReadOnly	0	1	n/a	TRAIN	285	0	2	1
