mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
302797	TRIAL_START	n/a	LTP551	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
400265	COUNTDOWN	n/a	LTP551	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
404281	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	0	NIGHTSTAND	153	1	2	0
405882	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	0	n/a	n/a	0	n/a	0
408515	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	1	WALL	53	1	2	0
410115	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	1	n/a	n/a	0	n/a	0
412698	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	2	PINE	254	1	2	0
414298	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	2	n/a	n/a	0	n/a	0
416982	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	3	NOTEBOOK	221	1	2	0
418582	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	3	n/a	n/a	0	n/a	0
421382	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	4	JELLO	85	1	2	0
422998	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	4	n/a	n/a	0	n/a	0
425632	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	5	FOG	298	0	1	0
427232	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	5	n/a	n/a	0	n/a	0
430149	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	6	TONGS	191	1	2	0
431748	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	6	n/a	n/a	0	n/a	0
434698	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	7	SHOES	72	1	1	0
436298	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	7	n/a	n/a	0	n/a	0
438849	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	8	BASKETBALL	247	0	1	0
440448	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	8	n/a	n/a	0	n/a	0
443115	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	9	WALL	53	1	2	1
444715	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	9	n/a	n/a	0	n/a	0
447616	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	10	NIGHTSTAND	153	1	2	1
449215	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	10	n/a	n/a	0	n/a	0
452164	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	11	BASS	176	0	1	0
453765	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	11	n/a	n/a	0	n/a	0
456482	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	12	CREEK	203	0	1	0
458082	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	12	n/a	n/a	0	n/a	0
460582	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	13	PINE	254	1	2	1
462182	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	13	n/a	n/a	0	n/a	0
464832	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	14	NOTEBOOK	221	1	2	1
466432	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	14	n/a	n/a	0	n/a	0
468966	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	15	TONGS	191	1	2	1
470566	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	15	n/a	n/a	0	n/a	0
473265	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	16	JELLO	85	1	2	1
474865	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	16	n/a	n/a	0	n/a	0
477815	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	17	CROW	30	0	1	0
479415	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	17	n/a	n/a	0	n/a	0
497132	REC_START	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
497882	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	NIGHTSTAND	153	0	2	1
498934	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	WALL	53	0	2	1
499811	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	TONGS	191	0	2	1
500783	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	SHOES	72	0	1	1
502154	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	JELLO	85	0	2	1
503207	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	NOTEBOOK	221	0	2	1
504332	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	PINE	254	0	2	1
527653	REC_END	n/a	LTP551	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
569014	TRIAL_START	n/a	LTP551	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
577965	COUNTDOWN	n/a	LTP551	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
581916	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	0	BOAT	287	1	2	0
583515	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	0	n/a	n/a	0	n/a	0
586099	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	1	ROOSTER	115	0	2	0
587715	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	1	n/a	n/a	0	n/a	0
590248	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	2	FUDGE	81	0	1	0
591848	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	2	n/a	n/a	0	n/a	0
594699	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	3	PEACH	139	1	2	0
596299	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	3	n/a	n/a	0	n/a	0
599066	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	4	CLOUD	294	1	2	0
600665	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	4	n/a	n/a	0	n/a	0
603499	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	5	VACUUM	12	0	2	0
605099	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	5	n/a	n/a	0	n/a	0
607649	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	6	SPEAKER	95	0	1	0
609248	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	6	n/a	n/a	0	n/a	0
612099	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	7	DRESSER	149	1	2	0
613699	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	7	n/a	n/a	0	n/a	0
616599	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	8	BOAT	287	1	2	1
618199	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	8	n/a	n/a	0	n/a	0
620932	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	9	CRICKET	167	0	1	0
622532	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	9	n/a	n/a	0	n/a	0
625116	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	10	STRAINER	187	1	1	0
626716	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	10	n/a	n/a	0	n/a	0
629649	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	11	SCREWDRIVER	230	0	1	0
631249	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	11	n/a	n/a	0	n/a	0
634182	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	12	ROOSTER	115	0	2	1
635799	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	12	n/a	n/a	0	n/a	0
638649	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	13	CARDINAL	29	0	1	0
640249	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	13	n/a	n/a	0	n/a	0
642782	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	14	VACUUM	12	0	2	1
644383	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	14	n/a	n/a	0	n/a	0
647066	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	15	CLOUD	294	1	2	1
648666	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	15	n/a	n/a	0	n/a	0
651549	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	16	PEACH	139	1	2	1
653149	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	16	n/a	n/a	0	n/a	0
656065	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	17	DRESSER	149	1	2	1
657666	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	17	n/a	n/a	0	n/a	0
675399	REC_START	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	n/a	n/a	n/a	0	n/a	0
676396	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	n/a	BOAT	287	0	2	1
677233	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	n/a	CLOUD	294	0	2	1
678137	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	n/a	DRESSER	149	0	2	1
678929	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	n/a	STRAINER	187	0	1	1
680241	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	n/a	PEACH	139	0	2	1
681806	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	n/a	CREEK	203	0	1	1
705902	TRIAL_START	n/a	LTP551	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
705902	REC_END	n/a	LTP551	ltpDelayRepFRReadOnly	0	1	n/a	n/a	n/a	0	n/a	0
716066	COUNTDOWN	n/a	LTP551	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
720049	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	0	OYSTER	213	0	1	0
721649	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	0	n/a	n/a	0	n/a	0
724416	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	1	HEADPHONES	94	0	2	0
726016	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	1	n/a	n/a	0	n/a	0
728633	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	2	STRAWBERRY	137	1	2	0
730233	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	2	n/a	n/a	0	n/a	0
733116	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	3	JUICE	19	1	2	0
734716	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	3	n/a	n/a	0	n/a	0
737217	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	4	SATIN	102	1	2	0
738816	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	4	n/a	n/a	0	n/a	0
741750	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	5	CROWBAR	240	0	1	0
743349	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	5	n/a	n/a	0	n/a	0
746350	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	6	BLENDER	10	1	2	0
747950	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	6	n/a	n/a	0	n/a	0
750850	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	7	ORANGUTAN	311	1	1	0
752448	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	7	n/a	n/a	0	n/a	0
755048	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	8	HORSE	116	1	2	0
756650	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	8	n/a	n/a	0	n/a	0
759516	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	9	HEADPHONES	94	0	2	1
761115	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	9	n/a	n/a	0	n/a	0
763616	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	10	STRAWBERRY	137	1	2	1
765216	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	10	n/a	n/a	0	n/a	0
768016	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	11	BEETLE	162	1	1	0
769616	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	11	n/a	n/a	0	n/a	0
772232	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	12	BIKE	286	1	1	0
773833	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	12	n/a	n/a	0	n/a	0
776698	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	13	JUICE	19	1	2	1
778299	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	13	n/a	n/a	0	n/a	0
781082	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	14	SATIN	102	1	2	1
782683	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	14	n/a	n/a	0	n/a	0
785500	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	15	BLENDER	10	1	2	1
787099	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	15	n/a	n/a	0	n/a	0
789799	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	16	LEG	39	0	1	0
791400	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	16	n/a	n/a	0	n/a	0
794132	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	17	HORSE	116	1	2	1
795732	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	17	n/a	n/a	0	n/a	0
813516	REC_START	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	n/a	n/a	0	n/a	0
814211	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	STRAWBERRY	137	0	2	1
815422	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	JUICE	19	0	2	1
816402	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	BLENDER	10	0	2	1
817337	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	ORANGUTAN	311	0	1	1
818751	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	HORSE	116	0	2	1
819922	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	BEETLE	162	0	1	1
821491	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	SATIN	102	0	2	1
831650	REC_WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	BIKE	286	0	1	1
844021	REC_END	n/a	LTP551	ltpDelayRepFRReadOnly	0	2	n/a	n/a	n/a	0	n/a	0
844021	TRIAL_START	n/a	LTP551	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
854800	COUNTDOWN	n/a	LTP551	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
858816	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	3	0	DOVE	32	0	1	0
860417	WORD_OFF	n/a	LTP551	ltpDelayRepFRReadOnly	0	3	0	n/a	n/a	0	n/a	0
863250	WORD	n/a	LTP551	ltpDelayRepFRReadOnly	0	3	1	PLIERS	234	1	2	0
