mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	n/a	n/a	n/a	0	n/a	0
46604	TRIAL_START	n/a	LTP510	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
58154	COUNTDOWN	n/a	LTP510	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
62104	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	0	PIE	75	1	2	0
63704	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	0	n/a	n/a	0	n/a	0
66255	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	1	TABLET	91	0	1	0
67854	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	1	n/a	n/a	0	n/a	0
70688	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	2	CLOUD	294	1	2	0
72287	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	2	n/a	n/a	0	n/a	0
75188	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	3	TOASTER	9	1	2	0
76788	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	3	n/a	n/a	0	n/a	0
79771	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	4	SANDER	238	1	2	0
81371	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	4	n/a	n/a	0	n/a	0
84304	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	5	ELM	257	1	2	0
85904	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	5	n/a	n/a	0	n/a	0
88421	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	6	WINDOW	51	0	2	0
90021	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	6	n/a	n/a	0	n/a	0
92555	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	7	LINEN	106	0	1	0
94155	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	7	n/a	n/a	0	n/a	0
96805	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	8	PIE	75	1	2	1
98405	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	8	n/a	n/a	0	n/a	0
101004	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	9	BEAR	310	1	1	0
102604	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	9	n/a	n/a	0	n/a	0
105538	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	10	CLOUD	294	1	2	1
107138	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	10	n/a	n/a	0	n/a	0
109988	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	11	TOASTER	9	1	2	1
111588	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	11	n/a	n/a	0	n/a	0
114355	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	12	SANDER	238	1	2	1
115954	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	12	n/a	n/a	0	n/a	0
118588	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	13	PETUNIA	129	0	1	0
120188	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	13	n/a	n/a	0	n/a	0
123071	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	14	BOOKCASE	155	0	1	0
124671	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	14	n/a	n/a	0	n/a	0
127205	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	15	WINDOW	51	0	2	1
128805	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	15	n/a	n/a	0	n/a	0
131671	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	16	ELM	257	1	2	1
133271	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	16	n/a	n/a	0	n/a	0
135838	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	17	WHISK	186	0	1	0
137438	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	17	n/a	n/a	0	n/a	0
155222	REC_START	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	n/a	n/a	n/a	0	n/a	0
156395	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	n/a	PIE	75	0	2	1
157904	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	n/a	TOASTER	9	0	2	1
159508	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	n/a	SANDER	238	0	2	1
161248	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	n/a	CLOUD	294	0	2	1
163004	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	n/a	ELM	257	0	2	1
166533	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	n/a	BEAR	310	0	1	1
185744	REC_END	n/a	LTP510	ltpDelayRepFRReadOnly	2	0	n/a	n/a	n/a	0	n/a	0
191105	TRIAL_START	n/a	LTP510	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
199855	COUNTDOWN	n/a	LTP510	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
203788	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	0	MIXER	11	1	2	0
205388	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	0	n/a	n/a	0	n/a	0
208039	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	1	ORANGE	135	1	2	0
209638	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	1	n/a	n/a	0	n/a	0
212305	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	2	HAWK	37	1	2	0
213922	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	2	n/a	n/a	0	n/a	0
216822	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	3	TEA	20	1	2	0
218422	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	3	n/a	n/a	0	n/a	0
221156	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	4	PANTS	63	0	1	0
222772	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	4	n/a	n/a	0	n/a	0
225756	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	5	VIOLET	127	0	1	0
227355	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	5	n/a	n/a	0	n/a	0
230039	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	6	BIKE	286	1	2	0
231638	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	6	n/a	n/a	0	n/a	0
234589	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	7	ROOM	56	1	1	0
236188	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	7	n/a	n/a	0	n/a	0
238706	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	8	CELLO	178	0	2	0
240306	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	8	n/a	n/a	0	n/a	0
242973	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	9	MIXER	11	1	2	1
244573	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	9	n/a	n/a	0	n/a	0
247156	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	10	MARBLES	251	1	1	0
248754	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	10	n/a	n/a	0	n/a	0
251572	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	11	HAWK	37	1	2	1
253172	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	11	n/a	n/a	0	n/a	0
256054	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	12	ORANGE	135	1	2	1
257655	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	12	n/a	n/a	0	n/a	0
260389	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	13	TEA	20	1	2	1
261988	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	13	n/a	n/a	0	n/a	0
264554	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	14	ERASER	222	1	1	0
266172	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	14	n/a	n/a	0	n/a	0
268905	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	15	CELLO	178	0	2	1
270504	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	15	n/a	n/a	0	n/a	0
273372	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	16	BIKE	286	1	2	1
274972	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	16	n/a	n/a	0	n/a	0
277722	WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	17	FISH	206	0	1	0
279321	WORD_OFF	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	17	n/a	n/a	0	n/a	0
297139	REC_START	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	n/a	n/a	0	n/a	0
298018	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	MIXER	11	0	2	1
300349	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	ORANGE	135	0	2	1
302694	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	TEA	20	0	2	1
304552	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	HAWK	37	0	2	1
306429	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	MARBLES	251	0	1	1
311876	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	ROOM	56	0	1	1
316541	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	BIKE	286	0	2	1
318947	REC_WORD	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	ERASER	222	0	1	1
327643	REC_END	n/a	LTP510	ltpDelayRepFRReadOnly	2	1	n/a	n/a	n/a	0	n/a	0
327643	TRIAL_START	n/a	LTP510	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
