mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
221000	TRIAL_START	n/a	LTP547	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
335451	COUNTDOWN	n/a	LTP547	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
339516	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	0	DOLL	242	1	2	0
341117	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	0	n/a	n/a	0	n/a	0
343984	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	1	WRENCH	232	1	2	0
345584	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	1	n/a	n/a	0	n/a	0
348150	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	2	EYE	46	1	2	0
349750	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	2	n/a	n/a	0	n/a	0
352551	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	3	ELM	257	0	1	0
354150	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	3	n/a	n/a	0	n/a	0
356733	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	4	PEN	218	1	2	0
358334	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	4	n/a	n/a	0	n/a	0
360868	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	5	CEILING	55	1	2	0
362467	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	5	n/a	n/a	0	n/a	0
365133	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	6	SHIRT	62	1	1	0
366733	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	6	n/a	n/a	0	n/a	0
369301	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	7	HAWK	37	1	2	0
370901	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	7	n/a	n/a	0	n/a	0
373451	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	8	DOLL	242	1	2	1
375051	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	8	n/a	n/a	0	n/a	0
377651	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	9	WRENCH	232	1	2	1
379250	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	9	n/a	n/a	0	n/a	0
382034	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	10	PEN	218	1	2	1
383634	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	10	n/a	n/a	0	n/a	0
386484	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	11	EYE	46	1	2	1
388084	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	11	n/a	n/a	0	n/a	0
390717	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	12	CHEETAH	312	1	1	0
392317	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	12	n/a	n/a	0	n/a	0
395001	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	13	HUMIDITY	292	0	1	0
396600	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	13	n/a	n/a	0	n/a	0
399418	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	14	TONGS	191	0	1	0
401018	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	14	n/a	n/a	0	n/a	0
403718	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	15	CEILING	55	1	2	1
405318	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	15	n/a	n/a	0	n/a	0
408050	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	16	STOVE	4	0	1	0
409650	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	16	n/a	n/a	0	n/a	0
412550	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	17	HAWK	37	1	2	1
414150	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	17	n/a	n/a	0	n/a	0
431785	REC_START	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
432524	REC_WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	DOLL	242	0	2	1
433255	REC_WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	WRENCH	232	0	2	1
434171	REC_WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	EYE	46	0	2	1
435209	REC_WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	CHEETAH	312	0	1	1
436235	REC_WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	CEILING	55	0	2	1
437496	REC_WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	HAWK	37	0	2	1
440191	REC_WORD_VV	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	<>	-1	0	n/a	0
440559	REC_WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	PEN	218	0	2	1
441677	REC_WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	SHIRT	62	0	1	1
443939	REC_WORD_VV	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	<>	-1	0	n/a	0
462288	REC_END	n/a	LTP547	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
496601	TRIAL_START	n/a	LTP547	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
505450	COUNTDOWN	n/a	LTP547	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
509552	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	0	TOE	47	1	2	0
511151	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	0	n/a	n/a	0	n/a	0
514101	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	1	SHELF	156	1	1	0
515701	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	1	n/a	n/a	0	n/a	0
518617	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	2	HAMMER	231	1	1	0
520218	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	2	n/a	n/a	0	n/a	0
522784	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	3	RUM	25	0	2	0
524384	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	3	n/a	n/a	0	n/a	0
526952	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	4	FREEZER	6	0	2	0
528551	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	4	n/a	n/a	0	n/a	0
531452	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	5	PEAS	270	0	2	0
533051	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	5	n/a	n/a	0	n/a	0
535884	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	6	BULL	120	1	2	0
537484	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	6	n/a	n/a	0	n/a	0
540135	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	7	CORKSCREW	193	1	2	0
541734	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	7	n/a	n/a	0	n/a	0
544400	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	8	CHIMPANZEE	307	1	1	0
546018	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	8	n/a	n/a	0	n/a	0
548652	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	9	TOE	47	1	2	1
550251	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	9	n/a	n/a	0	n/a	0
553136	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	10	RUM	25	0	2	1
554734	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	10	n/a	n/a	0	n/a	0
557601	WORD	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	11	FREEZER	6	0	2	1
559201	WORD_OFF	n/a	LTP547	ltpDelayRepFRReadOnly	0	1	11	n/a	n/a	0	n/a	0
