mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	n/a	n/a	n/a	0	n/a	0
78183	TRIAL_START	n/a	LTP511	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
160249	COUNTDOWN	n/a	LTP511	ltpDelayRepFRReadOnly	2	n/a	n/a	n/a	n/a	0	n/a	0
164250	WORD	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	0	DOLPHIN	207	1	2	0
165849	WORD_OFF	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	0	n/a	n/a	0	n/a	0
168500	WORD	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	1	TONGS	191	1	1	0
170100	WORD_OFF	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	1	n/a	n/a	0	n/a	0
172750	WORD	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	2	MONKEY	302	1	1	0
174350	WORD_OFF	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	2	n/a	n/a	0	n/a	0
177232	WORD	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	3	FOUNDATION	57	1	1	0
178833	WORD_OFF	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	3	n/a	n/a	0	n/a	0
181333	WORD	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	4	DRYER	8	1	2	0
182933	WORD_OFF	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	4	n/a	n/a	0	n/a	0
185767	WORD	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	5	DRUM	172	0	1	0
187367	WORD_OFF	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	5	n/a	n/a	0	n/a	0
189933	WORD	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	6	CROWBAR	240	0	2	0
191533	WORD_OFF	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	6	n/a	n/a	0	n/a	0
194383	WORD	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	7	MICROWAVE	97	1	2	0
195982	WORD_OFF	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	7	n/a	n/a	0	n/a	0
198499	WORD	n/a	LTP511	ltpDelayRepFRReadOnly	2	0	8	BEE	161	1	2	0
