onset	duration	trial_type	sample	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
11.0029296875	n/a	SESS_START	22534	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	n/a	n/a	n/a	0	n/a	0
62.99267578125	n/a	TRIAL_START	129009	n/a	LTP552	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
134.3076171875	n/a	COUNTDOWN	275062	n/a	LTP552	ltpDelayRepFRReadOnly	3	n/a	n/a	n/a	n/a	0	n/a	0
138.29052734375	n/a	WORD	283219	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	0	SEAGULL	34	1	2	0
139.8916015625	n/a	WORD_OFF	286498	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	0	n/a	n/a	0	n/a	0
142.44140625	n/a	WORD	291720	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	1	TEA	20	1	1	0
144.04150390625	n/a	WORD_OFF	294997	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	1	n/a	n/a	0	n/a	0
147.00830078125	n/a	WORD	301073	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	2	BASKETBALL	247	0	2	0
148.607421875	n/a	WORD_OFF	304348	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	2	n/a	n/a	0	n/a	0
151.47509765625	n/a	WORD	310221	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	3	FOOT	38	1	1	0
153.07421875	n/a	WORD_OFF	313496	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	3	n/a	n/a	0	n/a	0
155.77392578125	n/a	WORD	319025	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	4	SHIRT	62	1	1	0
157.3740234375	n/a	WORD_OFF	322302	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	4	n/a	n/a	0	n/a	0
160.02392578125	n/a	WORD	327729	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	5	SHRIMP	208	1	1	0
161.6240234375	n/a	WORD_OFF	331006	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	5	n/a	n/a	0	n/a	0
164.39111328125	n/a	WORD	336673	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	6	CUCUMBER	272	1	2	0
165.99072265625	n/a	WORD_OFF	339949	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	6	n/a	n/a	0	n/a	0
168.60791015625	n/a	WORD	345309	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	7	IRON	13	1	2	0
170.20751953125	n/a	WORD_OFF	348585	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	7	n/a	n/a	0	n/a	0
173.07373046875	n/a	WORD	354455	n/a	LTP552	ltpDelayRepFRReadOnly	3	0	8	ELEPHANT	303	1	2	0
