mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
227410	TRIAL_START	n/a	LTP527	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
371144	COUNTDOWN	n/a	LTP527	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
375043	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	0	HEADPHONES	94	1	2	0
376644	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	0	n/a	n/a	0	n/a	0
379577	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	1	WIND	291	1	2	0
381177	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	1	n/a	n/a	0	n/a	0
383843	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	2	SPINACH	269	1	2	0
385444	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	2	n/a	n/a	0	n/a	0
388093	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	3	MOTH	166	1	2	0
389693	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	3	n/a	n/a	0	n/a	0
392343	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	4	ISLAND	205	1	2	0
393944	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	4	n/a	n/a	0	n/a	0
396678	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	5	DAFFODIL	128	1	1	0
398278	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	5	n/a	n/a	0	n/a	0
401144	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	6	MOUSSE	84	0	2	0
402744	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	6	n/a	n/a	0	n/a	0
405394	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	7	WIND	291	1	2	1
406994	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	7	n/a	n/a	0	n/a	0
409761	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	8	BED	146	1	1	0
411361	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	8	n/a	n/a	0	n/a	0
413878	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	9	HEADPHONES	94	1	2	1
415477	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	9	n/a	n/a	0	n/a	0
418078	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	10	SPINACH	269	1	2	1
419677	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	10	n/a	n/a	0	n/a	0
422478	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	11	FINGERS	40	1	1	0
424077	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	11	n/a	n/a	0	n/a	0
426945	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	12	MOTH	166	1	2	1
428544	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	12	n/a	n/a	0	n/a	0
431278	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	13	BANANA	136	0	1	0
432878	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	13	n/a	n/a	0	n/a	0
435494	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	14	CHIMPANZEE	307	1	1	0
437094	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	14	n/a	n/a	0	n/a	0
439595	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	15	MOUSSE	84	0	2	1
441211	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	15	n/a	n/a	0	n/a	0
443760	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	16	ISLAND	205	1	2	1
445361	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	16	n/a	n/a	0	n/a	0
448027	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	17	AXE	241	1	1	0
449628	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	17	n/a	n/a	0	n/a	0
467412	REC_START	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
468532	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	HEADPHONES	94	0	2	1
469535	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	SPINACH	269	0	2	1
470720	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	CHIMPANZEE	307	0	1	1
472237	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	DAFFODIL	128	0	1	1
473786	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	ISLAND	205	0	2	1
475782	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	BED	146	0	1	1
476977	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	FINGERS	40	0	1	1
478630	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	WIND	291	0	2	1
481831	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	AXE	241	0	1	1
489909	REC_WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	MOTH	166	0	2	1
497917	REC_END	n/a	LTP527	ltpDelayRepFRReadOnly	0	0	n/a	n/a	n/a	0	n/a	0
511560	TRIAL_START	n/a	LTP527	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
522844	COUNTDOWN	n/a	LTP527	ltpDelayRepFRReadOnly	0	n/a	n/a	n/a	n/a	0	n/a	0
526761	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	0	DRESSER	149	1	2	0
528378	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	0	n/a	n/a	0	n/a	0
531161	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	1	CREEK	203	1	2	0
532761	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	1	n/a	n/a	0	n/a	0
535728	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	2	BLUEBERRY	141	1	2	0
537328	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	2	n/a	n/a	0	n/a	0
540061	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	3	PEAS	270	1	2	0
541661	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	3	n/a	n/a	0	n/a	0
544178	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	4	SODA	15	1	2	0
545778	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	4	n/a	n/a	0	n/a	0
548461	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	5	PETUNIA	129	1	1	0
550062	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	5	n/a	n/a	0	n/a	0
552945	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	6	FOG	298	0	2	0
554544	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	6	n/a	n/a	0	n/a	0
557428	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	7	BALL	243	1	1	0
559028	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	7	n/a	n/a	0	n/a	0
561978	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	8	LADLE	190	0	1	0
563578	WORD_OFF	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	8	n/a	n/a	0	n/a	0
566345	WORD	n/a	LTP527	ltpDelayRepFRReadOnly	0	1	9	DRESSER	149	1	2	1
