mstime	trial_type	stim_file	subject	experiment	session	list	serialpos	item_name	item_num	recalled	repeats	is_repeat
0	SESS_START	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	n/a	n/a	n/a	0	n/a	0
74604	TRIAL_START	n/a	LTP542	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
163621	COUNTDOWN	n/a	LTP542	ltpDelayRepFRReadOnly	1	n/a	n/a	n/a	n/a	0	n/a	0
167654	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	0	HEN	114	1	2	0
169254	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	0	n/a	n/a	0	n/a	0
172004	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	1	TOASTER	9	1	1	0
173604	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	1	n/a	n/a	0	n/a	0
176321	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	2	CROW	30	1	2	0
177920	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	2	n/a	n/a	0	n/a	0
180454	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	3	EYE	46	1	1	0
182054	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	3	n/a	n/a	0	n/a	0
184688	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	4	BANJO	180	1	1	0
186287	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	4	n/a	n/a	0	n/a	0
188970	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	5	PUZZLE	248	1	2	0
190571	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	5	n/a	n/a	0	n/a	0
193103	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	6	ROACH	165	0	1	0
194703	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	6	n/a	n/a	0	n/a	0
197537	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	7	BUS	281	1	2	0
199154	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	7	n/a	n/a	0	n/a	0
201837	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	8	CEDAR	262	1	2	0
203437	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	8	n/a	n/a	0	n/a	0
206287	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	9	CAULIFLOWER	274	1	2	0
207887	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	9	n/a	n/a	0	n/a	0
210554	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	10	CROW	30	1	2	1
212154	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	10	n/a	n/a	0	n/a	0
214971	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	11	HEN	114	1	2	1
216571	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	11	n/a	n/a	0	n/a	0
219170	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	12	DOOR	52	1	1	0
220770	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	12	n/a	n/a	0	n/a	0
223471	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	13	NOTEBOOK	221	1	1	0
225070	WORD_OFF	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	13	n/a	n/a	0	n/a	0
227770	WORD	n/a	LTP542	ltpDelayRepFRReadOnly	1	0	14	PUZZLE	248	1	2	1
